name,state,date_start,date_end,project_id,department_id,structure_id,hrbp_user_id,approval_type_id,payslip_publish_option,division_department_id,company_department_id,project_policy_id,year_of_tax_finalization,income_type,payslip_month,payslip_year
TOPSOLVENT GO DAU - BANG LUONG THANG 06.2022,approved,2022-05-21,2022-06-20,697,126.0,6.0,243.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - COMPASIA,approved,2022-06-01,2022-06-30,2263,103.0,202.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
BV OUTSOURCING - BANG LUONG THANG 06.2022,approved,2022-05-21,2022-06-20,686,126.0,59.0,243.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - FCV ARAS,approved,2022-06-01,2022-06-30,814,103.0,203.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
DRAKA 12.2022,approved,2022-12-01,2022-12-31,691,125.0,246.0,197.0,3.0,manual,14.0,11.0,,2023.0,monthly_salary,12,2022
Bảng lương EISAI tháng 06.2022,approved,2022-06-01,2022-06-30,2300,97.0,274.0,9141.0,,manual,13.0,,,,monthly_salary,6,2022
Bảng lương GSK CAT LAI tháng 06.2022,approved,2022-06-01,2022-06-30,2262,97.0,223.0,9141.0,,manual,13.0,,,,monthly_salary,6,2022
Bảng lương Test H2H DRAKA (02),approved,2023-09-01,2023-09-30,691,125.0,246.0,243.0,7.0,manual,14.0,11.0,1005.0,2023.0,monthly_salary,9,2023
05.2022 - AKZO POWER,approved,2022-04-26,2022-05-25,703,125.0,41.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
05.2022 - AKZO NOBEL NORTH,approved,2022-04-26,2022-05-25,735,125.0,38.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
05.2022 - AKZO NOBEL COATINGS,approved,2022-04-26,2022-05-25,725,125.0,30.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
DRAKA. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,691,125.0,246.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
06.2022 - AKZO NOBEL NORTH,approved,2022-05-26,2022-06-25,735,125.0,38.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
RHI QUANG NGAI 11.2023,draft,2023-10-25,2023-11-24,756,126.0,195.0,8455.0,3.0,manual,13.0,11.0,1159.0,2023.0,monthly_salary,11,2023
BV SUBCONTRACT - BANG LUONG THANG 06.2022,approved,2022-05-21,2022-06-20,688,126.0,60.0,243.0,,manual,13.0,,,,monthly_salary,6,2022
SAPHARCO - BANG LUONG THANG 03.2022,draft,2022-03-01,2022-03-31,749,126.0,238.0,8455.0,,manual,13.0,,,,monthly_salary,3,2022
Bảng lương RHI QUANG NGAI tháng 11/2022,approved,2022-10-25,2022-11-24,756,126.0,195.0,8455.0,7.0,manual,13.0,11.0,,,monthly_salary,11,2022
06.2022 - AKZO NOBEL CS,approved,2022-05-26,2022-06-25,701,125.0,34.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - AKZO NOBEL HQ,approved,2022-06-01,2022-06-30,758,125.0,29.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - AKZO NOBEL DRIVER,approved,2022-06-01,2022-06-30,2134,125.0,28.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
05.2022 - AKZO DRIVER,approved,2022-05-01,2022-05-31,2134,125.0,28.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
05.2022 - AKZO HQ,approved,2022-05-01,2022-05-31,758,125.0,29.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
GSK VSIP_BẢNG LƯƠNG THÁNG 06 2022,approved,2022-06-01,2022-06-30,2245,97.0,224.0,9141.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - BSI,approved,2022-06-01,2022-06-30,727,125.0,245.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - Payroll ZUELLIG PHARMA,approved,2022-06-01,2022-06-30,672,126.0,240.0,238.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - FCV PG ACTIVATION,approved,2022-06-01,2022-06-30,2156,108.0,206.0,229.0,,manual,20.0,,,,monthly_salary,6,2022
06.2022 - NAM GIANG,approved,2022-06-01,2022-06-30,1826,125.0,248.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
DRAKA. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,691,125.0,246.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
06.2022 - FCV NA CLS,approved,2022-06-01,2022-06-30,784,103.0,199.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
08.2022 - DRAKA,approved,2022-08-01,2022-08-31,691,125.0,246.0,229.0,,manual,14.0,,,,monthly_salary,8,2022
ACV BẮC NINH_BẢNG LƯƠNG 06.2022,approved,2022-06-01,2022-06-30,2155,97.0,213.0,535.0,,manual,13.0,,,2022.0,monthly_salary,6,2022
06.2022 - ROSNEFT,approved,2022-06-01,2022-06-30,708,125.0,250.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
BẢNG LƯƠNG UIP (NSX) 04.2022,approved,2022-04-01,2022-04-30,769,97.0,267.0,535.0,,manual,13.0,,,,monthly_salary,4,2022
06.2022 - DRAKA,approved,2022-06-01,2022-06-30,691,125.0,246.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
RHI QN 10.2022,approved,2022-09-25,2022-10-24,756,126.0,195.0,8455.0,,manual,13.0,11.0,,,monthly_salary,10,2022
06.2022 - FCV NA ADMIN,approved,2022-06-01,2022-06-30,783,103.0,198.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - Payroll -THEP NHA BE,approved,2022-06-01,2022-06-30,1976,126.0,196.0,195.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - Payroll - AT TRANSPORT,approved,2022-06-01,2022-06-30,2220,126.0,24.0,9558.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - Payroll RHI H AI DUONG,approved,2022-06-01,2022-06-30,755,126.0,193.0,8455.0,,manual,13.0,,,,monthly_salary,6,2022
DRAKA. Bang luong thang 04.2022,approved,2022-04-01,2022-04-30,691,125.0,246.0,229.0,,manual,14.0,,,,monthly_salary,4,2022
Bảng lương DRAKA T7/2022,pending,2022-07-01,2022-07-31,691,125.0,246.0,229.0,1.0,manual,14.0,,,,monthly_salary,7,2022
SYNAGIE_PAYROLL T06.2022,approved,2022-06-01,2022-06-30,2273,97.0,234.0,222.0,,manual,13.0,,,,monthly_salary,6,2022
UIP TSX_Bảng lương 01.2022,approved,2022-01-01,2022-01-31,769,97.0,267.0,535.0,,manual,13.0,,,,monthly_salary,1,2022
ZUELLIG PHARMA. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,672,126.0,240.0,238.0,,manual,13.0,,,,monthly_salary,1,2022
03.2022 - FCV NA,approved,2022-03-01,2022-03-31,781,103.0,200.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
Bảng lương FIRST SOLAR 05.2022,approved,2022-05-01,2022-05-31,779,97.0,211.0,208.0,,manual,13.0,,,,monthly_salary,5,2022
06.2022,approved,2022-06-01,2022-06-30,682,125.0,242.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
BẢNG LƯƠNG UIP (TSX) 05.2022,approved,2022-05-01,2022-05-31,769,97.0,267.0,535.0,,manual,13.0,,,,monthly_salary,5,2022
06.2022 - Payroll - DKSH VSIP,approved,2022-06-01,2022-06-30,695,126.0,20.0,9558.0,,manual,13.0,,,,monthly_salary,6,2022
PG ĐỒNG AN_PAYROLL_T06.2022_CT,approved,2022-06-01,2022-06-30,751,97.0,228.0,222.0,,manual,13.0,,,,monthly_salary,6,2022
06.2022 - AKZO NOBEL COATINGS,approved,2022-05-26,2022-06-25,725,125.0,30.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
Bảng lương Test H2H BAT DONG NAI,approved,2023-03-01,2023-03-31,767,97.0,217.0,243.0,7.0,manual,13.0,11.0,1136.0,2023.0,monthly_salary,3,2023
06.2022 - Payroll - DKSH OFFICER,approved,2022-06-01,2022-06-30,2266,126.0,21.0,9558.0,,manual,13.0,,,,monthly_salary,6,2022
